0;1;1;1;1;1;1;7 180;7 90;1;1;1;1;1;1;1;1;1;1;7 180;7 90;1;1;1;1;1;1;0 90
1 270;PD;PD;PD;PD;PD;PD;5 270;5 90;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;5 270;5 90;PD;PD;PD;PD;PD;PD;1 90
1 270;PP;3 90;5;5;3 180;PD;5 270;5 90;PD;3 90;5;5;5;5;5;5;3 180;PD;5 270;5 90;PD;3 90;5;5;3 180;PP;1 90
1 270;PD;3;5 180;5 180;3 270;PD;3;3 270;PD;3;5 180;5 180;5 180;5 180;5 180;5 180;3 270;PD;3;3 270;PD;3;5 180;5 180;3 270;PD;1 90
1 270;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;1 90
0 270;1 180;3 180;PD;3 90;3 180;PD;3 90;5;5;5;3 180;PD;3 90;3 180;PD;3 90;5;5;5;3 180;PD;3 90;3 180;PD;3 90;1 180;0 180
;;1 270;PD;5 270;5 90;PD;5 270;6;6;6;5 90;PD;5 270;5 90;PD;5 270;6;6;6;5 90;PD;5 270;5 90;PD;1 90;;
1;1;3 270;PD;5 270;5 90;PD;3;5 180;5 180;5 180;3 270;PD;5 270;5 90;PD;3;5 180;5 180;5 180;3 270;PD;5 270;5 90;PD;3;1;1
;;;PD;5 270;5 90;PD;PD;PD;PD;PD;PD;PD;5 270;5 90;PD;PD;PD;PD;PD;PD;PD;5 270;5 90;PD;;;
1 180;1 180;3 180;PD;5 270;7;5;5;3 180;;3 90;5;5;7 270;7;5;5;3 180;;3 90;5;5;7 270;5 90;PD;3 90;1 180;1 180
;;1 270;PD;3;5 180;5 180;5 180;3 270;;3;5 180;5 180;5 180;5 180;5 180;5 180;3 270;;3;5 180;5 180;5 180;3 270;PD;1 90;;
;;1 270;PD;;;;;;;;;Blinky;FA;FA;;;;;;;;;;PD;1 90;;
;;1 270;PD;3 90;5;5;5;3 180;;2;1 180;1 180;8;8;1 180;1 180;2 90;;3 90;5;5;5;3 180;PD;1 90;;
;;1 270;PD;5 270;7 90;5 180;5 180;3 270;;1 90;;;;;;;1 270;;3;5 180;5 180;7 180;5 90;PD;1 90;;
;;1 270;PD;5 270;5 90;;;;;1 90;Inky;;Pinky;;Clyde;;1 270;;;;;5 270;5 90;PD;1 90;;
;;1 270;PD;5 270;5 90;;3 90;3 180;;1 90;;;;;;;1 270;;3 90;3 180;;5 270;5 90;PD;1 90;;
1;1;3 270;PD;3;3 270;;5 270;5 90;;2 270;1;1;1;1;1;1;2 180;;5 270;5 90;;3;3 270;PD;3;1;1
;;;PD;;;;5 270;5 90;;;;;;;;;;;5 270;5 90;;;;PD;;;
1 180;1 180;3 180;PD;3 90;5;5;7 270;7;5;5;3 180;;3 90;3 180;;3 90;5;5;7 270;7;5;5;3 180;PD;3 90;1 180;1 180
;;1 270;PD;3;5 180;5 180;5 180;5 180;5 180;5 180;3 270;;5 270;5 90;;3;5 180;5 180;5 180;5 180;5 180;5 180;3 270;PD;1 90;;
;;1 270;PD;PD;PD;PD;PD;PD;PD;;;;5 270;5 90;;;;PD;PD;PD;PD;PD;PD;PD;1 90;;
;;1 270;PD;3 90;5;5;5;3 180;PD;3 90;5;5;7 270;7;5;5;3 180;PD;3 90;5;5;5;3 180;PD;1 90;;
0;1;3 270;PD;3;5 180;5 180;5 180;3 270;PD;3;5 180;5 180;5 180;5 180;5 180;5 180;3 270;PD;3;5 180;5 180;5 180;3 270;PD;3;1;0 90
1 270;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;MPM;;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;1 90
1 270;PD;3 90;5;5;3 180;PD;3 90;5;5;5;3 180;PD;3 90;3 180;PD;3 90;5;5;5;3 180;PD;3 90;5;5;3 180;PD;1 90
1 270;PD;5 270;6;6;5 90;PD;5 270;7 90;5 180;5 180;3 270;PD;5 270;5 90;PD;3;5 180;5 180;7 180;5 90;PD;5 270;6;6;5 90;PD;1 90
1 270;PD;5 270;6;6;5 90;PD;5 270;5 90;PD;PD;PD;PD;5 270;5 90;PD;PD;PD;PD;5 270;5 90;PD;5 270;6;6;5 90;PD;1 90
1 270;PP;5 270;6;6;5 90;PD;5 270;5 90;PD;3 90;5;5;7 270;7;5;5;3 180;PD;5 270;5 90;PD;5 270;6;6;5 90;PP;1 90
1 270;PD;3;5 180;5 180;3 270;PD;3;3 270;PD;3;5 180;5 180;5 180;5 180;5 180;5 180;3 270;PD;3;3 270;PD;3;5 180;5 180;3 270;PD;1 90
1 270;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;PD;1 90
0 270;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;1 180;0 180
